编号,片段名,文本,语言,中文,label,音频路径,answer
52001,电视剧1 EP10,,马来语,在座的各位有很多新面孔,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_30,620_00_03_32,740_chinesetts.wav",Terdapat ramai wajah baru di sini.
52002,电视剧1 EP10,,马来语,不过大家应该都认识我吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_33,380_00_03_35,020_chinesetts.wav","Tetapi anda semua harus mengenali saya, bukan?"
52003,电视剧1 EP10,,马来语,年初李总把好的公司托付给我,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_35,420_00_03_38,180_chinesetts.wav","Encik Li mempercayakan
syarikat yang baik kepada saya."
52004,电视剧1 EP10,,马来语,本来计划是一年的时间,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_38,420_00_03_40,220_chinesetts.wav","Asalnya, saya merancang untuk
menjalani latihan industri selama setahun."
52005,电视剧1 EP10,,马来语,但是我真的太想大家了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_40,740_00_03_42,580_chinesetts.wav",Tetapi saya sangat merindui semua orang
52006,电视剧1 EP10,,马来语,所以第一时间就赶回来和大家团聚,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_42,900_00_03_45,180_chinesetts.wav",Jadi saya bergegas kembali secepat mungkin untuk bersatu semula dengan semua orang
52007,电视剧1 EP10,,马来语,以后还请多多关照,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_45,820_00_03_47,260_chinesetts.wav","Tolong beri tunjuk ajar
pada masa depan."
52008,电视剧1 EP10,,马来语,不错呀依然很厉害,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_53,220_00_03_55,140_chinesetts.wav","Tidak buruk, masih hebat"
52009,电视剧1 EP10,,马来语,我说的是他这番话很厉害,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_59,300_00_04_01,260_chinesetts.wav","Maksud saya, kata-katanya sangat berkuasa."
52010,电视剧1 EP10,,马来语,一方面拉近了和同事之间的距离,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_01,740_00_04_05,060_chinesetts.wav","Sebaliknya, ia rapatkan hubungan
antara dia dengan rakan sekerja."
