编号,片段名,文本,语言,中文,label,音频路径,answer
52001,电视剧1 EP10,,马来语,在座的各位有很多新面孔,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_30,620_00_03_32,740_chinesetts.wav",Ramai wajah baharu di sini
52002,电视剧1 EP10,,马来语,不过大家应该都认识我吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_33,380_00_03_35,020_chinesetts.wav",Tetapi semua orang sepatutnya mengenali saya
52003,电视剧1 EP10,,马来语,年初李总把好的公司托付给我,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_35,420_00_03_38,180_chinesetts.wav",Encik Li serahkan syarikat yang baik kepada saya pada awal tahun.
52004,电视剧1 EP10,,马来语,本来计划是一年的时间,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_38,420_00_03_40,220_chinesetts.wav","Asalnya, saya merancang untuk berkhidmat selama setahun."
52005,电视剧1 EP10,,马来语,但是我真的太想大家了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_40,740_00_03_42,580_chinesetts.wav",Tetapi saya sangat merindui semua orang
52006,电视剧1 EP10,,马来语,所以第一时间就赶回来和大家团聚,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_42,900_00_03_45,180_chinesetts.wav",Jadi saya bergegas kembali untuk berkumpul dengan semua orang secepat mungkin
52007,电视剧1 EP10,,马来语,以后还请多多关照,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_45,820_00_03_47,260_chinesetts.wav",Tolong beri tunjuk ajar pada masa depan.
52008,电视剧1 EP10,,马来语,不错呀依然很厉害,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_53,220_00_03_55,140_chinesetts.wav","Tidak buruk, masih sangat berkuasa"
52009,电视剧1 EP10,,马来语,我说的是他这番话很厉害,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_59,300_00_04_01,260_chinesetts.wav",Apa yang saya katakan ialah kata-katanya sangat berkuasa
52010,电视剧1 EP10,,马来语,一方面拉近了和同事之间的距离,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_01,740_00_04_05,060_chinesetts.wav","Di satu pihak, ia merapatkan jarak antara rakan sekerja"
52011,电视剧1 EP10,,马来语,另一方面又展示了自己的工作能力,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_05,340_00_04_08,060_chinesetts.wav","Sebaliknya, dia menunjukkan keupayaan kerjanya"
52012,电视剧1 EP10,,马来语,可谓是一举多得呀,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_08,660_00_04_10,140_chinesetts.wav",Ia boleh dikatakan melakukan banyak perkara dengan satu batu
52013,电视剧1 EP10,,马来语,不过海外的业务才刚刚起步,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_16,860_00_04_19,900_chinesetts.wav",Tetapi perniagaan luar negara baru sahaja bermula
52014,电视剧1 EP10,,马来语,我也不是很放心,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_20,060_00_04_21,580_chinesetts.wav",Saya juga tidak begitu risau
52015,电视剧1 EP10,,马来语,也想看看有没有合适的人能够替我接管,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_21,860_00_04_25,340_chinesetts.wav",Saya juga ingin melihat jika terdapat sesiapa yang sesuai untuk mengambil alih untuk saya
52016,电视剧1 EP10,,马来语,现在海外公司正是迅速发展的时候,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_26,540_00_04_28,780_chinesetts.wav",Syarikat luar negara sedang berkembang pesat sekarang.
52017,电视剧1 EP10,,马来语,只要去肯定有业绩,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_28,900_00_04_30,500_chinesetts.wav","Selagi anda pergi, anda pasti akan mempunyai prestasi"
52018,电视剧1 EP10,,马来语,这在海外工作几年回来铁定升职,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_30,820_00_04_33,300_chinesetts.wav",Dia bekerja di luar negara beberapa tahun dan pasti akan dinaikkan pangkat.
