编号,片段名,文本,语言,中文,answer,selected_model,available_models,source_text_check,target_language_check
50001,电视剧1 EP09,Aktiviti pengambilan pekerja kali ini dikira tamat.,马来语,咱们这次的招聘活动就算结束了,Aktiviti pengambilan pekerja kita kali ini sudah selesai.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",咱们这次的招聘活动就算结束了,马来语
50002,电视剧1 EP09,Tak sangka kita dapat habiskan ia.,马来语,没想到我们真的能完成,Tak sangka kita benar-benar berjaya menyelesaikannya.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",没想到我们真的能完成,马来语
50003,电视剧1 EP09,Bukannya saya nak mengampu awak.,马来语,我不是拍马屁啊,Saya bukan membodek.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我不是拍马屁啊,马来语
50004,电视剧1 EP09,Awak tak nampak seperti orang baharu apabila menyelesaikan urusan kerja.,马来语,你处理起工作来一点都不像个新手,Cara awak uruskan kerja langsung tak macam orang baru.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你处理起工作来一点都不像个新手,马来语
50005,电视剧1 EP09,"Apa-apa pun, saya pernah menganjurkan pemilihan gadis cantik beberapa kali.",马来语,毕竟是主持过几次秀女选拔的人,"Lagipun, dia pernah menjadi pengacara pemilihan gadis berbakat beberapa kali.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",毕竟是主持过几次秀女选拔的人,马来语
50006,电视剧1 EP09,Cik Wei akhirnya pulang.,马来语,我的魏总 你可回来了,"Tuan Wei, akhirnya awak kembali.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我的魏总 你可回来了,马来语
50007,电视剧1 EP09,"Cik Wei, kami rindui awak.",马来语,魏总 我们都可想你了,"Encik Wei, kami semua sangat merindui awak.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",魏总 我们都可想你了,马来语
50008,电视剧1 EP09,Mengapa dia serupa dengan Gundik Besar Wei?,马来语,怎么那么像魏贵妃,Kenapa begitu mirip dengan Gundik Besar Wei?,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",怎么那么像魏贵妃,马来语
50009,电视剧1 EP09,Awak akhirnya sudah muncul.,马来语,你终究还是出现了,Akhirnya awak muncul juga.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你终究还是出现了,马来语
50010,电视剧1 EP09,Lama saya menunggu awak.,马来语,等你很久了,Dah lama tunggu awak.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",等你很久了,马来语
50011,电视剧1 EP10,"Inilah timbalan pengarah syarikat kita, Wei Yahan.",马来语,我们公司的副总魏雅涵,"Naib presiden syarikat kita, Wei Yahan.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我们公司的副总魏雅涵,马来语
50012,电视剧1 EP10,"Sebelum ini, dia mengurus operasi dalaman syarikat.",马来语,她之前是负责公司内部运营的,"Sebelum ini, dia bertanggungjawab untuk operasi dalaman syarikat.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",她之前是负责公司内部运营的,马来语
50013,电视剧1 EP10,"Tahun ini, dia menangani pengurusan cawangan luar negara.",马来语,今年她去负责海外分公司管理了,Tahun ini dia bertanggungjawab menguruskan cawangan syarikat di luar negara.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",今年她去负责海外分公司管理了,马来语
50014,电视剧1 EP10,Mengapa dia tiba-tiba balik?,马来语,她怎么突然回来了,Kenapa dia tiba-tiba kembali?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",她怎么突然回来了,马来语
50015,电视剧1 EP10,Awak juga kenalinya?,马来语,你也认识她啊,Awak pun kenal dia?,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你也认识她啊,马来语
50016,电视剧1 EP10,Boleh cakap begitu.,马来语,算是认识吧,Boleh dikatakan kenal.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",算是认识吧,马来语
50017,电视剧1 EP10,"Salam sejahtera, Puan Wei.",马来语,见过魏贵妃,Pernah jumpa Gundik Besar Wei.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",见过魏贵妃,马来语
