编号,片段名,文本,语言,中文,label,音频路径,answer
52001,电视剧1 EP10,,马来语,在座的各位有很多新面孔,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_30,620_00_03_32,740_chinesetts.wav",Ramai orang di sini mempunyai wajah-wajah baharu.
52002,电视剧1 EP10,,马来语,不过大家应该都认识我吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_33,380_00_03_35,020_chinesetts.wav","Namun, sepatutnya semua orang kenal saya."
52003,电视剧1 EP10,,马来语,年初李总把好的公司托付给我,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_35,420_00_03_38,180_chinesetts.wav","Pada awal tahun ini, Encik Li menyerahkan syarikat yang baik kepada saya."
52004,电视剧1 EP10,,马来语,本来计划是一年的时间,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_38,420_00_03_40,220_chinesetts.wav","Pada asalnya, ia dirancang untuk tempoh setahun."
52005,电视剧1 EP10,,马来语,但是我真的太想大家了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_40,740_00_03_42,580_chinesetts.wav","Namun, saya sangat merindui kamu."
52006,电视剧1 EP10,,马来语,所以第一时间就赶回来和大家团聚,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_42,900_00_03_45,180_chinesetts.wav","Oleh itu, segeralah pulang dan bersatu semula dengan kami."
52007,电视剧1 EP10,,马来语,以后还请多多关照,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_45,820_00_03_47,260_chinesetts.wav",Sila ambil lebih banyak perhatian selepas ini.
52008,电视剧1 EP10,,马来语,不错呀依然很厉害,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_53,220_00_03_55,140_chinesetts.wav",Betul. Masih hebat.
52009,电视剧1 EP10,,马来语,我说的是他这番话很厉害,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_59,300_00_04_01,260_chinesetts.wav","Maksud saya, kata-kata dia sangat hebat."
52010,电视剧1 EP10,,马来语,一方面拉近了和同事之间的距离,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_01,740_00_04_05,060_chinesetts.wav","Di satu pihak, kita semakin rapat dengan rakan sekerja kita."
52011,电视剧1 EP10,,马来语,另一方面又展示了自己的工作能力,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_05,340_00_04_08,060_chinesetts.wav","Di sisi lain, mereka menunjukkan keupayaan kerja mereka."
52012,电视剧1 EP10,,马来语,可谓是一举多得呀,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_08,660_00_04_10,140_chinesetts.wav","Namun, ia lebih banyak daripada itu."
52013,电视剧1 EP10,,马来语,不过海外的业务才刚刚起步,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_16,860_00_04_19,900_chinesetts.wav","Namun, perniagaan di luar negara baru bermula."
52014,电视剧1 EP10,,马来语,我也不是很放心,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_20,060_00_04_21,580_chinesetts.wav",Saya juga tidak begitu yakin.
52015,电视剧1 EP10,,马来语,也想看看有没有合适的人能够替我接管,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_21,860_00_04_25,340_chinesetts.wav",Saya juga ingin melihat jika ada orang yang sesuai yang boleh mengambil alih jawatan ini untuk saya.
52016,电视剧1 EP10,,马来语,现在海外公司正是迅速发展的时候,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_26,540_00_04_28,780_chinesetts.wav","Sekarang, syarikat luar negara sedang berkembang pesat."
52017,电视剧1 EP10,,马来语,只要去肯定有业绩,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_28,900_00_04_30,500_chinesetts.wav",Saya hanya perlu memastikan prestasi.
52018,电视剧1 EP10,,马来语,这在海外工作几年回来铁定升职,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_30,820_00_04_33,300_chinesetts.wav","Selepas bekerja di luar negara selama beberapa tahun, dia pasti akan naik pangkat."
52019,电视剧1 EP10,,马来语,开会呢不要说话了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_34,140_00_04_35,380_chinesetts.wav",Jangan bercakap dalam mesyuarat.
