编号,片段名,文本,语言,中文,label,音频路径,answer
52001,电视剧1 EP10,,马来语,在座的各位有很多新面孔,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_30,620_00_03_32,740_chinesetts.wav",Semua orang di sini mempunyai banyak wajah baharu.
52002,电视剧1 EP10,,马来语,不过大家应该都认识我吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_33,380_00_03_35,020_chinesetts.wav","Namun, semua orang sepatutnya mengenali saya."
52003,电视剧1 EP10,,马来语,年初李总把好的公司托付给我,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_35,420_00_03_38,180_chinesetts.wav","Pada awal tahun ini, Encik Li serahkan syarikat yang baik kepada saya."
52004,电视剧1 EP10,,马来语,本来计划是一年的时间,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_38,420_00_03_40,220_chinesetts.wav","Asalnya, saya merancang untuk menghabiskan masa setahun."
52005,电视剧1 EP10,,马来语,但是我真的太想大家了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_40,740_00_03_42,580_chinesetts.wav","Namun, saya sangat merindui kamu."
52006,电视剧1 EP10,,马来语,所以第一时间就赶回来和大家团聚,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_42,900_00_03_45,180_chinesetts.wav","Jadi, segeralah balik dan bersatu semula dengan semua orang."
52007,电视剧1 EP10,,马来语,以后还请多多关照,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_45,820_00_03_47,260_chinesetts.wav","Selepas ini, mintalah banyak perhatian."
52008,电视剧1 EP10,,马来语,不错呀依然很厉害,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_53,220_00_03_55,140_chinesetts.wav",Betul. Ia masih hebat.
52009,电视剧1 EP10,,马来语,我说的是他这番话很厉害,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_59,300_00_04_01,260_chinesetts.wav","Maksud saya, kata-katanya sangat hebat."
52010,电视剧1 EP10,,马来语,一方面拉近了和同事之间的距离,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_01,740_00_04_05,060_chinesetts.wav","Di satu pihak, kita semakin rapat dengan rakan sekerja."
52011,电视剧1 EP10,,马来语,另一方面又展示了自己的工作能力,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_05,340_00_04_08,060_chinesetts.wav","Sebaliknya, awak menunjukkan keupayaan kerja awak."
52012,电视剧1 EP10,,马来语,可谓是一举多得呀,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_08,660_00_04_10,140_chinesetts.wav","Namun, ia terlalu banyak."
52013,电视剧1 EP10,,马来语,不过海外的业务才刚刚起步,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_16,860_00_04_19,900_chinesetts.wav","Namun, perniagaan luar negara baru bermula."
52014,电视剧1 EP10,,马来语,我也不是很放心,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_20,060_00_04_21,580_chinesetts.wav",Saya juga tak begitu yakin.
52015,电视剧1 EP10,,马来语,也想看看有没有合适的人能够替我接管,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_21,860_00_04_25,340_chinesetts.wav",Saya juga ingin melihat jika ada orang yang sesuai yang boleh mengambil alih untuk saya.
52016,电视剧1 EP10,,马来语,现在海外公司正是迅速发展的时候,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_26,540_00_04_28,780_chinesetts.wav","Sekarang, syarikat luar negara sedang berkembang pesat."
52017,电视剧1 EP10,,马来语,只要去肯定有业绩,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_28,900_00_04_30,500_chinesetts.wav",Saya hanya perlu pergi untuk memastikan keputusan.
52018,电视剧1 EP10,,马来语,这在海外工作几年回来铁定升职,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_30,820_00_04_33,300_chinesetts.wav",Saya bekerja di luar negara selama beberapa tahun dan pasti akan naik pangkat selepas balik.
52019,电视剧1 EP10,,马来语,开会呢不要说话了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_34,140_00_04_35,380_chinesetts.wav",Jangan bercakap semasa mesyuarat.
52020,电视剧1 EP10,,马来语,如果是你你去吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_37,300_00_04_38,700_chinesetts.wav","Jika awak, adakah awak akan pergi?"
52021,电视剧1 EP10,,马来语,我倒是想去啊,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_40,100_00_04_41,460_chinesetts.wav",Saya memang nak pergi.
52022,电视剧1 EP10,,马来语,不过以我现在的能力和资历根本不可能,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_42,140_00_04_44,780_chinesetts.wav","Namun, dengan keupayaan dan kelayakan saya sekarang, ia mustahil."
52023,电视剧1 EP10,,马来语,而且我对西安国家那些语言一窍不通,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_45,500_00_04_48,180_chinesetts.wav","Lagipun, saya tak faham bahasa Xi'an."
52024,电视剧1 EP10,,马来语,根本去不了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_48,900_00_04_49,740_chinesetts.wav",Saya tak boleh pergi.
52025,电视剧1 EP10,,马来语,刚刚听李总夸人事三组工作表现出色,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_50,620_00_04_53,900_chinesetts.wav","Baru-baru ini, saya dengar bahawa Encik Li bekerja dengan cemerlang dalam tiga kumpulan kakitangan."
52026,电视剧1 EP10,,马来语,我提议我要三组的组长去接管海外的公司,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_54,340_00_04_58,940_chinesetts.wav",Saya cadangkan supaya ketua kumpulan ketiga mengambil alih syarikat di luar negara.
52027,电视剧1 EP10,,马来语,是叫何娇娇是吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_59,860_00_05_01,820_chinesetts.wav",Adakah nama awak He Lu?
