编号,片段名,文本,语言,中文,label,音频路径,answer
52001,电视剧1 EP10,,马来语,在座的各位有很多新面孔,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_30,620_00_03_32,740_chinesetts.wav",Ramai antara kamu yang baru.
52002,电视剧1 EP10,,马来语,不过大家应该都认识我吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_33,380_00_03_35,020_chinesetts.wav","Namun, semua orang mengenali saya."
52003,电视剧1 EP10,,马来语,年初李总把好的公司托付给我,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_35,420_00_03_38,180_chinesetts.wav","Awal tahun ini, Encik Li serahkan syarikat yang baik kepada saya."
52004,电视剧1 EP10,,马来语,本来计划是一年的时间,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_38,420_00_03_40,220_chinesetts.wav","Asalnya, kami merancang untuk mengadakannya selama setahun."
52005,电视剧1 EP10,,马来语,但是我真的太想大家了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_40,740_00_03_42,580_chinesetts.wav","Namun, saya rindukan kamu semua."
52006,电视剧1 EP10,,马来语,所以第一时间就赶回来和大家团聚,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_42,900_00_03_45,180_chinesetts.wav","Jadi, saya segera datang ke sini untuk berjumpa dengan kamu semua."
52007,电视剧1 EP10,,马来语,以后还请多多关照,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_45,820_00_03_47,260_chinesetts.wav",Tolong jaga kami pada masa depan.
52008,电视剧1 EP10,,马来语,不错呀依然很厉害,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_53,220_00_03_55,140_chinesetts.wav",Tak buruk. Yanyi masih hebat.
52009,电视剧1 EP10,,马来语,我说的是他这番话很厉害,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_59,300_00_04_01,260_chinesetts.wav","Maksud saya, dia cakap dengan baik."
52010,电视剧1 EP10,,马来语,一方面拉近了和同事之间的距离,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_01,740_00_04_05,060_chinesetts.wav","Di satu pihak, ia mendekatkan hubungan antara rakan sekerja."
52011,电视剧1 EP10,,马来语,另一方面又展示了自己的工作能力,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_05,340_00_04_08,060_chinesetts.wav","Sebaliknya, dia menunjukkan kemampuan kerja."
52012,电视剧1 EP10,,马来语,可谓是一举多得呀,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_08,660_00_04_10,140_chinesetts.wav",Ini boleh dikatakan banyak faedah yang diperoleh.
52013,电视剧1 EP10,,马来语,不过海外的业务才刚刚起步,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_16,860_00_04_19,900_chinesetts.wav","Namun, perniagaan di luar negara baru bermula."
52014,电视剧1 EP10,,马来语,我也不是很放心,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_20,060_00_04_21,580_chinesetts.wav",Saya tak rasa sangat selesa.
52015,电视剧1 EP10,,马来语,也想看看有没有合适的人能够替我接管,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_21,860_00_04_25,340_chinesetts.wav",Saya ingin melihat sama ada terdapat orang yang sesuai untuk mengambil alih syarikat saya.
52016,电视剧1 EP10,,马来语,现在海外公司正是迅速发展的时候,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_26,540_00_04_28,780_chinesetts.wav",Syarikat luar negara sedang berkembang pesat.
52017,电视剧1 EP10,,马来语,只要去肯定有业绩,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_28,900_00_04_30,500_chinesetts.wav",Pasti ada hasil jika kita pergi.
52018,电视剧1 EP10,,马来语,这在海外工作几年回来铁定升职,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_30,820_00_04_33,300_chinesetts.wav","Selepas bekerja di luar negara selama beberapa tahun, pastilah dia akan dinaikkan pangkat."
52019,电视剧1 EP10,,马来语,开会呢不要说话了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_34,140_00_04_35,380_chinesetts.wav",Kita sedang bermesyuarat. Jangan bercakap lagi.
52020,电视剧1 EP10,,马来语,如果是你你去吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_37,300_00_04_38,700_chinesetts.wav","Kalau awak, awak akan pergi?"
52021,电视剧1 EP10,,马来语,我倒是想去啊,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_40,100_00_04_41,460_chinesetts.wav",Saya memang nak pergi.
52022,电视剧1 EP10,,马来语,不过以我现在的能力和资历根本不可能,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_42,140_00_04_44,780_chinesetts.wav","Namun, dengan kemampuan dan kelayakan saya sekarang, ini mustahil."
52023,电视剧1 EP10,,马来语,而且我对西安国家那些语言一窍不通,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_45,500_00_04_48,180_chinesetts.wav","Lagipun, saya tak faham bahasa negara Xi'an."
52024,电视剧1 EP10,,马来语,根本去不了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_48,900_00_04_49,740_chinesetts.wav",takkan dapat pergi.
52025,电视剧1 EP10,,马来语,刚刚听李总夸人事三组工作表现出色,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_50,620_00_04_53,900_chinesetts.wav",Saya dengar Encik Li memuji prestasi kerja Kumpulan Tiga Bahagian Sumber Manusia tadi.
52026,电视剧1 EP10,,马来语,我提议我要三组的组长去接管海外的公司,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_54,340_00_04_58,940_chinesetts.wav",Saya mencadangkan ketua pasukan ketiga
52027,电视剧1 EP10,,马来语,是叫何娇娇是吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_59,860_00_05_01,820_chinesetts.wav","Nama saya He Jiaojiao, betul tak?"
52028,电视剧1 EP10,,马来语,他经验不足,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_07,300_00_05_08,340_chinesetts.wav",Dia kurang pengalaman.
52029,电视剧1 EP10,,马来语,恐怕难以胜任,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_08,660_00_05_10,220_chinesetts.wav",Saya mungkin takkan dapat melaksanakan tugas ini.
52030,电视剧1 EP10,,马来语,我看不如让许诺去吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_11,020_00_05_14,140_chinesetts.wav",Apa kata kita biarkan Xu Nuo pergi?
52031,电视剧1 EP10,,马来语,还跟了我这么多年,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_14,580_00_05_15,740_chinesetts.wav",dan awak ikut saya bertahun-tahun.
52032,电视剧1 EP10,,马来语,是时候独当一面了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_15,860_00_05_16,900_chinesetts.wav",Sudah tiba masanya untuk kita berdikari.
52033,电视剧1 EP10,,马来语,不是李总我,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_16,900_00_05_17,620_chinesetts.wav","Encik Li, saya..."
52034,电视剧1 EP10,,马来语,何娇娇你觉得呢,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_17,620_00_05_19,180_chinesetts.wav",He Jiaojiao. Apa pendapat awak?
52035,电视剧1 EP10,,马来语,我非常认可您的看法,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_22,420_00_05_24,060_chinesetts.wav",Saya sangat setuju dengan pendapat awak.
52036,电视剧1 EP10,,马来语,可是有的时候经验和能力不一定成正比,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_24,460_00_05_27,820_chinesetts.wav","Namun, kadang-kadang pengalaman dan keupayaan tak semestinya seimbang."
52037,电视剧1 EP10,,马来语,有时候吃的只是一个机会,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_28,540_00_05_30,020_chinesetts.wav","Kadangkala, makan hanyalah satu peluang."
52038,电视剧1 EP10,,马来语,你的意思是我没给你机会,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_31,860_00_05_34,420_chinesetts.wav","Maksud awak, saya tak beri awak peluang?"
52039,电视剧1 EP10,,马来语,娇娇当然不是这个意思,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_34,900_00_05_36,420_chinesetts.wav",Sudah tentu bukan itu maksud Jiaojiao.
52040,电视剧1 EP10,,马来语,我们公司会给每一个优秀的年轻人机会,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_36,940_00_05_39,980_chinesetts.wav",Syarikat kami akan berikan peluang kepada setiap orang muda yang cemerlang.
52041,电视剧1 EP10,,马来语,许特助走了那您的助理,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_42,100_00_05_44,700_chinesetts.wav",Pembantu Xu dah pergi. Bagaimana pula dengan pembantu awak?
52042,电视剧1 EP10,,马来语,让何皎皎试试吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_45,900_00_05_46,980_chinesetts.wav",Biar He Jiaojiao mencubanya.
52043,电视剧1 EP10,,马来语,他不是说没给他机会吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_47,780_00_05_49,020_chinesetts.wav",Bukankah dia kata bahawa dia tak diberikan peluang?
52044,电视剧1 EP10,,马来语,魏总你觉得呢,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_49,580_00_05_51,220_chinesetts.wav","Encik Wei, apa pendapat awak?"
52045,电视剧1 EP10,,马来语,李总的决定我都双手支持,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_51,780_00_05_53,540_chinesetts.wav",Saya menyokong keputusan Encik Li.
52046,电视剧1 EP10,,马来语,何皎皎能胜任吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_54,500_00_05_56,740_chinesetts.wav",Bolehkah He Jiaojiao tangani ini?
52047,电视剧1 EP10,,马来语,多谢魏总和李总的信任,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_57,460_00_05_59,100_chinesetts.wav",Terima kasih kepada Encik Wei dan Encik Li atas kepercayaan mereka.
52048,电视剧1 EP10,,马来语,可是我的经验不足,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_59,100_00_06_01,020_chinesetts.wav","Namun, saya kurang pengalaman."
52049,电视剧1 EP10,,马来语,作为助理的话也不是太会照顾人,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_01,020_00_06_03,620_chinesetts.wav",Saya bukan pembantu yang pandai menjaga orang.
52050,电视剧1 EP10,,马来语,而且徐特助跟了您这么多年,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_04,020_00_06_05,500_chinesetts.wav","Lagipun, pembantu Xu telah berkhidmat untuk awak selama ini."
52051,电视剧1 EP10,,马来语,你们想听听我的意见吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_08,220_00_06_11,060_chinesetts.wav",Mahukah kamu dengar pendapat saya?
52052,电视剧1 EP10,,马来语,许特助你有意见许特助你有意见,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_12,420_00_06_14,540_chinesetts.wav","Adakah awak ada pandangan, Penolong Setiausaha Xu?"
52053,电视剧1 EP10,,马来语,不敢不敢不敢,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_16,340_00_06_17,460_chinesetts.wav",Tak berani.
52054,电视剧1 EP10,,马来语,你想清楚了再跟我打,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_19,140_00_06_20,540_chinesetts.wav",Fikir baik-baik sebelum berlawan dengan saya.
52055,电视剧1 EP10,,马来语,这次招聘的事情我听李总说了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_36,460_00_06_38,900_chinesetts.wav","Kali ini, saya dengar Encik Li bercakap tentang pengambilan."
52056,电视剧1 EP10,,马来语,助理的事呢你不用太担心,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_41,420_00_06_43,540_chinesetts.wav",Awak tak perlu risau tentang pembantu.
52057,电视剧1 EP10,,马来语,李总看起来很严肃但其实他是一个挺好的人,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_44,060_00_06_47,220_chinesetts.wav","Encik Li nampaknya serius, tapi sebenarnya dia orang yang baik."
52058,电视剧1 EP10,,马来语,不过你要实在担心的话你也可以随时和我说,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_48,660_00_06_53,220_chinesetts.wav","Namun, jika awak benar-benar risau, awak boleh beritahu saya pada bila-bila masa."
52059,电视剧1 EP10,,马来语,以后也别叫我王总了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_53,980_00_06_54,980_chinesetts.wav",Jangan panggil saya Encik Wang lagi.
52060,电视剧1 EP10,,马来语,叫我雅涵姐吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_55,180_00_06_56,220_chinesetts.wav",Panggil saya Kakya Han.
52061,电视剧1 EP10,,马来语,多谢魏总关心,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_56,780_00_06_57,740_chinesetts.wav",Terima kasih atas keprihatinan Encik Wei.
52062,电视剧1 EP10,,马来语,你那有事你就先去忙,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_59,460_00_07_00,820_chinesetts.wav","Jika ada hal, awak pergi dulu."
52063,电视剧1 EP10,,马来语,好拜拜微信,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_01,380_00_07_03,220_chinesetts.wav",Baik. Jumpa lagi.
52064,电视剧1 EP10,,马来语,外层好温柔啊,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_06,180_00_07_07,580_chinesetts.wav",Luarnya lembut.
52065,电视剧1 EP10,,马来语,这个好看吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_11,540_00_07_12,780_chinesetts.wav",Cantik tak?
52066,电视剧1 EP10,,马来语,可是姐姐找我有事,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_18,220_00_07_19,740_chinesetts.wav","Namun, kakak minta saya datang."
52067,电视剧1 EP10,,马来语,贵妃娘娘请您去朝日宫一叙,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_20,580_00_07_22,740_chinesetts.wav",Gundik Lairah. Gundik Lairah minta awak pergi ke Istana Jiayue.
52068,电视剧1 EP10,,马来语,走吧小松子,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_24,580_00_07_25,500_chinesetts.wav","Pergilah, Komatsuko."
52069,电视剧1 EP10,,马来语,把我亲手做的茯苓糕带上,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_25,500_00_07_27,060_chinesetts.wav",Bawa kek peria yang saya buat sendiri.
52070,电视剧1 EP10,,马来语,给姐姐尝尝,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_27,340_00_07_27,860_chinesetts.wav",Cubalah.
52071,电视剧1 EP10,,马来语,你要不再梳妆打扮一番,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_29,540_00_07_31,660_chinesetts.wav",Awak perlu sikat rambut dan bersolek.
52072,电视剧1 EP10,,马来语,我们家娘娘听说你已经好几日没见过皇上了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_34,060_00_07_37,660_chinesetts.wav",Gundik awak sudah beberapa hari tak berjumpa maharaja.
52073,电视剧1 EP10,,马来语,他要求皇上一同前去抓他,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_38,180_00_07_40,580_chinesetts.wav",Dia meminta maharaja ikut dia menangkap dia.
52074,电视剧1 EP10,,马来语,姐姐待我可真是太好了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_42,260_00_07_43,860_chinesetts.wav",Kak long sangat baik kepada saya.
52075,电视剧1 EP10,,马来语,太好了小主,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_48,860_00_07_49,740_chinesetts.wav","Bagus sekali, sayang."
52076,电视剧1 EP10,,马来语,现在你也醒了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_53,900_00_07_55,460_chinesetts.wav",Awak sudah sedar.
52077,电视剧1 EP10,,马来语,给皇上请安,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_58,380_00_07_59,500_chinesetts.wav",Salam kepada maharaja.
52078,电视剧1 EP10,,马来语,给贵妃娘娘请安,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_59,500_00_08_00,620_chinesetts.wav",Hormatilah Gundik Lai.
52079,电视剧1 EP10,,马来语,没想到你们两个关系倒是亲密,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_04,340_00_08_07,100_chinesetts.wav",tak sangka kamu berdua rapat.
52080,电视剧1 EP10,,马来语,正好那就一同赏花吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_07,620_00_08_09,940_chinesetts.wav",Kebetulan. Mari kita nikmati bunga bersama.
52081,电视剧1 EP10,,马来语,我和妹妹一见如故,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_11,420_00_08_13,020_chinesetts.wav",Saya dan adik saya berasa seperti kenal satu sama lain sejak dulu.
52082,电视剧1 EP10,,马来语,皇上喜欢妹妹,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_13,580_00_08_14,980_chinesetts.wav",Maharaja menyukai adik saya.
52083,电视剧1 EP10,,马来语,我自然也喜欢他,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_14,980_00_08_16,420_chinesetts.wav",Saya juga menyukainya.
52084,电视剧1 EP10,,马来语,您看这远,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_18,100_00_08_19,220.wav",Tengoklah dari jauh.
52085,电视剧1 EP10,,马来语,还有什么想法,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_19,220_00_08_20,460_chinesetts.wav",Ada fikiran lain?
52086,电视剧1 EP10,,马来语,臣妾才疏学浅看不懂,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_28,780_00_08_32,300_chinesetts.wav",Patik tak dapat memahami.
52087,电视剧1 EP10,,马来语,想到什么就说什么,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_33,460_00_08_34,660_chinesetts.wav",Katakan apa sahaja yang terlintas di fikiran awak.
52088,电视剧1 EP10,,马来语,这幅画挺漂亮的,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_36,620_00_08_42,220_chinesetts.wav",Lukisan ini agak cantik.
52089,电视剧1 EP10,,马来语,还有还有他画的好,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_47,460_00_08_51,660_chinesetts.wav",Dia melukis dengan baik.
